divergence,treatment,composition,...1,richness,temperature,nutrients
0.24139205333371747,Tmp_25_28_Nut0.35,DLPS,72,4,25-28 °C,0.35 g/L
0,Tmp_25_28_Nut0.75,CS,73,2,25-28 °C,0.75 g/L
0,Tmp_25_28_Nut0.75,CP,74,2,25-28 °C,0.75 g/L
0,Tmp_25_28_Nut0.75,PS,75,2,25-28 °C,0.75 g/L
0,Tmp_25_28_Nut0.75,CDS,76,3,25-28 °C,0.75 g/L
0.43321391696537254,Tmp_25_28_Nut0.75,CLS,77,3,25-28 °C,0.75 g/L
0.3422306620341536,Tmp_25_28_Nut0.75,LPS,78,3,25-28 °C,0.75 g/L
0,Tmp_25_28_Nut0.75,CDPS,79,4,25-28 °C,0.75 g/L
0.43321391696537254,Tmp_25_28_Nut0.75,CDLP,80,4,25-28 °C,0.75 g/L
0.3422306620341536,Tmp_25_28_Nut0.75,DLPS,81,4,25-28 °C,0.75 g/L
