file,species,temperature,nutrients,sample_ID,date,mean.dens.ml,day
20230822_00079,Colpidium,21,4,C25,2023-08-22,140.762808,1
20230822_00080,Tetrahymena,21,2,T20,2023-08-22,134.967792,1
20230822_00081,Colpidium,21,1,C16,2023-08-22,197.030544,1
20230822_00082,Colpidium,21,2,C21,2023-08-22,233.856936,1
20230822_00083,Loxocephalus,21,2,L21,2023-08-22,118.517424,1
20230822_00084,Loxocephalus,21,1,L18,2023-08-22,307.135848,1
20230822_00085,Loxocephalus,21,5,L30,2023-08-22,174.78516,1
20230822_00086,Loxocephalus,21,5,L29,2023-08-22,157.400112,1
20230822_00087,Colpidium,21,3,C23,2023-08-22,317.417328,1
20230822_00088,Colpidium,21,4,C27,2023-08-22,202.451688,1
20230822_00089,Loxocephalus,21,4,L26,2023-08-22,189.366168,1
20230822_00090,Loxocephalus,21,4,L25,2023-08-22,277.039152,1
20230822_00091,Colpidium,24,1,C31,2023-08-22,63.932112,1
20230822_00092,Loxocephalus,24,3,L38,2023-08-22,133.472304,1
20230822_00093,Loxocephalus,24,5,L45,2023-08-22,297.975984,1
20230822_00094,Tetrahymena,24,4,T40,2023-08-22,144.314592,1
20230822_00095,Loxocephalus,24,5,L43,2023-08-22,199.834584,1
20230822_00096,Loxocephalus,24,2,L34,2023-08-22,215.350272,1
20230822_00097,Colpidium,24,2,C34,2023-08-22,53.089824,1
20230822_00098,Loxocephalus,24,1,L32,2023-08-22,693.345624,1
20230822_00099,Colpidium,24,5,C43,2023-08-22,46.734,1
20230822_00100,Tetrahymena,24,5,T44,2023-08-22,81.130224,1
20230822_00101,Colpidium,24,5,C44,2023-08-22,60.006456,1
20230822_00102,Tetrahymena,24,3,T39,2023-08-22,46.920936,1
20230822_00103,Tetrahymena,24,5,T43,2023-08-22,110.853048,1
20230822_00104,Tetrahymena,24,3,T37,2023-08-22,70.848744,1
20230822_00105,Tetrahymena,24,5,T45,2023-08-22,58.697904,1
20230822_00106,Tetrahymena,24,1,T31,2023-08-22,32.5106086956522,1
20230822_00107,Colpidium,24,3,C38,2023-08-22,99.263016,1
20230822_00108,Loxocephalus,24,4,L42,2023-08-22,371.254896,1
20230822_00109,Tetrahymena,24,2,T36,2023-08-22,27.0565263157895,1
20230822_00110,Tetrahymena,24,1,T33,2023-08-22,165.812232,1
20230822_00111,Loxocephalus,24,1,L33,2023-08-22,360.599544,1
20230822_00112,Tetrahymena,24,2,T34,2023-08-22,220.958352,1
20230822_00113,Colpidium,24,1,C32,2023-08-22,211.424616,1
20230822_00114,Loxocephalus,24,3,L39,2023-08-22,132.537624,1
20230822_00115,Colpidium,24,4,C40,2023-08-22,42.247536,1
20230822_00116,Colpidium,24,5,C45,2023-08-22,47.294808,1
20230822_00118,Colpidium,24,3,C37,2023-08-22,66.549216,1
20230822_00119,Tetrahymena,24,4,T41,2023-08-22,54.21144,1
20230822_00120,Loxocephalus,24,2,L36,2023-08-22,350.318064,1
20230822_00121,Loxocephalus,24,1,L31,2023-08-22,626.048664,1
20230822_00122,Tetrahymena,24,3,T38,2023-08-22,105.244968,1
20230822_00123,Colpidium,24,4,C41,2023-08-22,24.862488,1
20230822_00124,Loxocephalus,24,4,L40,2023-08-22,411.820008,1
20230822_00125,Tetrahymena,24,2,T35,2023-08-22,51.4074,1
20230822_00126,Colpidium,24,1,C33,2023-08-22,473.508888,1
20230822_00127,Colpidium,24,2,C35,2023-08-22,93.468,1
20230822_00128,Tetrahymena,24,1,T32,2023-08-22,117.582744,1
20230822_00129,Colpidium,24,3,C39,2023-08-22,120.947592,1
20230822_00130,Loxocephalus,24,3,L37,2023-08-22,357.04776,1
20230822_00131,Loxocephalus,24,5,L44,2023-08-22,119.63904,1
20230822_00132,Loxocephalus,24,2,L35,2023-08-22,549.031032,1
20230822_00133,Tetrahymena,24,4,T42,2023-08-22,80.195544,1
20230822_00134,Loxocephalus,24,4,L41,2023-08-22,392.939472,1
20230822_00135,Colpidium,24,2,C36,2023-08-22,51.033528,1
20230822_00136,Loxocephalus,26,2,L49,2023-08-22,212.359296,1
20230822_00137,Loxocephalus,26,3,L53,2023-08-22,193.665696,1
20230822_00138,Colpidium,26,2,C49,2023-08-22,23.367,1
20230822_00139,Colpidium,26,1,C46,2023-08-22,103.188672,1
20230822_00140,Loxocephalus,26,2,L50,2023-08-22,248.251008,1
20230822_00141,Tetrahymena,26,1,T48,2023-08-22,148.61412,1
20230822_00142,Loxocephalus,26,1,L46,2023-08-22,241.334376,1
20230822_00143,Loxocephalus,26,1,L47,2023-08-22,213.854784,1
20230822_00144,Loxocephalus,26,5,L58,2023-08-22,477.808416,1
20230822_00145,Tetrahymena,26,4,T57,2023-08-22,137.584896,1
20230822_00146,Colpidium,26,5,C59,2023-08-22,80.943288,1
20230822_00147,Tetrahymena,26,2,T51,2023-08-22,111.22692,1
20230822_00148,Colpidium,26,4,C55,2023-08-22,163.942872,1
20230822_00149,Tetrahymena,26,3,T54,2023-08-22,23.367,1
20230822_00150,Tetrahymena,26,3,T52,2023-08-22,203.947176,1
20230822_00151,Colpidium,26,3,C52,2023-08-22,36.826392,1
20230822_00152,Loxocephalus,26,4,L55,2023-08-22,305.64036,1
20230822_00153,Tetrahymena,26,1,T46,2023-08-22,72.531168,1
20230822_00154,Loxocephalus,26,3,L54,2023-08-22,296.29356,1
20230822_00156,Loxocephalus,26,4,L57,2023-08-22,404.71644,1
20230822_00157,Loxocephalus,26,3,L52,2023-08-22,140.762808,1
20230822_00158,Colpidium,26,1,C47,2023-08-22,146.557824,1
20230822_00159,Tetrahymena,26,2,T49,2023-08-22,48.416424,1
20230822_00160,Tetrahymena,26,5,T58,2023-08-22,346.76628,1
20230822_00161,Tetrahymena,26,5,T59,2023-08-22,272.552688,1
20230822_00162,Tetrahymena,26,5,T60,2023-08-22,306.761976,1
20230822_00163,Tetrahymena,26,4,T55,2023-08-22,227.314176,1
20230822_00164,Tetrahymena,26,4,T56,2023-08-22,73.465848,1
20230822_00165,Colpidium,26,5,C58,2023-08-22,129.733584,1
20230822_00166,Loxocephalus,26,5,L60,2023-08-22,166.186104,1
20230822_00167,Tetrahymena,26,3,T53,2023-08-22,214.228656,1
20230822_00168,Colpidium,26,4,C56,2023-08-22,172.728864,1
20230822_00169,Colpidium,26,1,C48,2023-08-22,75.896016,1
20230822_00170,Tetrahymena,26,2,T50,2023-08-22,70.848744,1
20230822_00171,Colpidium,26,5,C60,2023-08-22,130.481328,1
20230822_00172,Colpidium,26,3,C54,2023-08-22,23.367,1
20230822_00173,Tetrahymena,26,1,T47,2023-08-22,139.454256,1
20230822_00174,Loxocephalus,26,2,L51,2023-08-22,312.743928,1
20230822_00175,Loxocephalus,26,1,L48,2023-08-22,309.005208,1
20230822_00176,Loxocephalus,26,5,L59,2023-08-22,305.827296,1
20230822_00177,Colpidium,26,4,C57,2023-08-22,46.547064,1
20230822_00178,Colpidium,26,3,C53,2023-08-22,46.734,1
20230822_00179,Loxocephalus,26,4,L56,2023-08-22,191.048592,1
20230822_00181,Loxocephalus,28,5,L73,2023-08-22,207.872832,1
20230822_00182,Colpidium,28,1,C62,2023-08-22,177.028392,1
20230822_00183,Loxocephalus,28,4,L70,2023-08-22,31.966056,1
20230822_00184,Colpidium,28,3,C69,2023-08-22,229.93128,1
20230822_00185,Loxocephalus,28,2,L65,2023-08-22,47.107872,1
20230822_00186,Colpidium,28,5,C75,2023-08-22,177.963072,1
20230822_00187,Loxocephalus,28,1,L61,2023-08-22,142.258296,1
20230822_00188,Colpidium,28,5,C74,2023-08-22,23.367,1
20230822_00189,Tetrahymena,28,2,T64,2023-08-22,217.78044,1
